Region,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,total
Australia,350,374,408,449,481,503,531,532,583,602,597,619,647,652,663,631,624,611,589,611,590,612,625,651,679,694,676,679,720,753,781,794,822,825,843,837,845,846,851,856,886,918,925,936,941,0.8,1.1
Bangladesh,-,-,-,-,-,-,-,15,18,19,23,24,24,26,29,32,32,30,27,32,35,35,34,38,41,39,35,38,43,45,59,60,69,76,68,66,80,80,83,83,94,93,93,92,93,0.4,0.1
China,217,279,275,300,404,559,759,871,1067,1226,1353,1546,1638,1825,1833,1694,1616,1601,1642,1700,1825,1941,2062,2211,2340,2323,2524,2740,3051,3116,3395,3702,4179,4228,4477,4772,4872,5288,5803,6772,6984,7410,7771,8086,8625,6.7,10.4
China Hong Kong SAR,41,45,54,59,70,76,80,91,95,97,92,108,117,121,125,127,135,132,118,110,104,103,101,116,124,131,131,167,174,187,199,195,193,185,194,202,244,268,270,316,287,305,324,294,286,-2.9,0.4
India,253,283,291,326,394,392,416,447,474,464,476,502,541,588,633,643,696,726,765,822,895,943,974,1069,1164,1211,1233,1296,1313,1413,1580,1700,1828,1963,2134,2254,2284,2374,2420,2573,2569,2580,2838,3071,3183,3.7,3.8
Indonesia,123,119,115,122,132,139,144,156,186,195,223,239,289,326,355,396,441,457,448,493,499,575,555,576,609,685,711,757,798,845,931,934,1015,951,1019,1122,1162,1191,1218,1290,1289,1252,1273,1314,1344,0.4,1.6
Japan,1637,1873,2293,2655,3151,3713,4110,4392,5055,4874,4614,4800,4940,5185,5250,4739,4519,4243,4243,4585,4411,4467,4476,4771,4971,5258,5363,5476,5406,5698,5746,5776,5731,5504,5598,5557,5422,5347,5440,5269,5343,5213,5039,4846,4396,-10.7,5.1
Malaysia,41,49,48,49,51,57,63,71,81,82,90,97,109,121,146,162,171,184,196,192,193,194,199,210,228,271,292,295,329,374,383,407,431,404,435,435,442,482,473,485,469,458,481,476,468,-1.6,0.6
New Zealand,57,64,67,68,71,83,86,92,97,93,90,92,93,89,90,87,83,84,80,81,79,80,84,87,91,104,100,103,101,115,123,121,129,129,130,133,134,139,149,149,154,156,156,156,148,-5.6,0.2
Pakistan,76,78,87,99,93,92,87,72,74,79,83,83,87,93,100,104,111,122,134,145,156,167,182,195,209,218,230,249,272,291,315,329,339,350,363,373,366,357,321,325,312,356,388,389,414,7.1,0.5
Philippines,85,93,105,119,128,145,169,165,194,181,195,200,219,225,232,216,204,196,205,168,151,159,184,198,224,234,227,278,290,306,344,360,389,392,375,348,347,331,331,338,315,284,300,265,265,-0.3,0.3
Singapore,73,85,106,132,130,142,125,155,146,144,141,165,165,170,183,181,208,204,215,228,232,272,284,327,373,449,457,474,516,590,617,586,630,651,619,654,716,699,668,748,794,853,916,968,1002,3.5,1.3
South Korea,25,37,65,96,130,163,184,191,236,244,278,310,371,426,480,475,473,471,497,500,537,588,620,739,854,1038,1254,1518,1675,1840,2009,2144,2373,2030,2178,2229,2235,2282,2300,2283,2308,2317,2389,2287,2327,1.5,2.7
Taiwan,44,52,62,73,88,105,149,160,204,185,214,271,304,353,358,388,359,349,350,349,348,390,411,476,533,566,568,598,636,684,735,731,773,786,964,1003,991,999,1069,1084,1090,1097,1123,1037,1014,-3.3,1.2
Thailand,48,56,62,82,88,103,115,144,152,155,169,177,199,223,226,234,225,207,232,243,233,238,271,306,360,411,450,489,558,623,724,779,808,762,788,784,768,827,881,967,1005,996,985,962,975,1.7,1.1
Other Asia Pacific,95,106,118,125,136,140,136,150,151,156,153,158,164,184,200,230,233,230,233,214,213,217,215,217,218,231,224,230,244,255,272,300,312,329,334,357,375,381,396,419,432,433,462,481,516,8.3,0.6
