Region,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,total
Total North America,12941,13592,14159,15105,15934,16612,17189,18472,19539,18958,18707,20010,21041,21484,21317,20012,18989,18070,17884,18474,18535,19085,19598,20303,20503,20206,19908,20279,20586,21232,21150,21823,22276,22674,23286,23548,23571,23665,24050,24898,25023,24904,25020,23795,22826,-4.7,26.4
Total S. & Cent. America,1667,1793,1853,1961,2076,2157,2301,2472,2717,2794,2771,2918,3076,3245,3401,3391,3323,3311,3243,3259,3215,3413,3533,3611,3658,3661,3727,3837,3915,4092,4266,4443,4691,4854,4905,4855,4916,4913,4754,4871,5047,5210,5533,5681,5653,-0.8,6.6
Total Europe & Eurasia,11826,12886,14021,15233,16831,18628,19605,21010,22583,22251,22061,23222,23456,24587,25117,24389,23507,22773,22344,22429,22406,22970,23118,23167,23217,23473,23034,22189,20716,19879,19721,19573,19753,19845,19760,19577,19766,19760,19940,20139,20301,20498,20203,20193,19372,-4.2,23.5
Total Asia Pacific,3166,3593,4156,4753,5546,6413,7154,7704,8813,8797,8789,9394,9908,10606,10903,10341,10130,9847,9976,10472,10500,10981,11277,12186,13018,13862,14474,15387,16124,17133,18212,18916,20020,19567,20518,21126,21282,21891,22671,23957,24331,24721,25462,25662,25998,1.0,31.1
Total Middle East,958,992,1029,1068,1115,1165,1218,1313,1429,1487,1438,1585,1743,1845,2100,2050,2226,2392,2611,2769,2955,3001,3091,3076,3209,3493,3599,3679,3833,4125,4237,4358,4453,4550,4689,4838,4979,5164,5394,5706,6010,6247,6469,6864,7146,3.8,8.7
Total Africa,537,595,602,637,659,732,776,848,902,933,965,1093,1159,1216,1297,1386,1490,1592,1627,1677,1737,1721,1786,1855,1931,1997,2000,2063,2088,2147,2228,2277,2354,2412,2490,2484,2517,2552,2614,2691,2800,2786,2931,3045,3082,1.1,3.7
Total World,31095,33451,35821,38757,42162,45707,48243,51819,55982,55221,54731,58221,60384,62983,64135,61569,59665,57985,57684,59080,59347,61169,62404,64197,65536,66693,66742,67433,67262,68608,69815,71391,73546,73903,75648,76428,77032,77945,79424,82261,83513,84367,85619,85239,84077,-1.7,100.0
of which: European Union #,7986,8771,9519,10417,11681,12935,13543,14478,15512,14581,14051,14972,14837,15500,15879,14806,13858,13172,12820,12910,13114,13497,13537,13654,13764,13925,14034,14037,13931,13942,14157,14440,14581,14849,14814,14692,14861,14797,14868,15032,15204,15260,14926,14775,14143,-4.4,17.3
OECD,23144,24859,26654,28949,31602,34179,35827,38351,41248,39543,38498,40990,42107,43474,43771,40853,38702,36813,36333,37440,37190,38334,38974,40280,40888,41308,41503,42451,42865,44046,44434,45605,46467,46571,47469,47653,47692,47676,48277,49073,49489,49323,49008,47353,45327,-4.8,53.4
Former Soviet Union,3392,3632,3957,4204,4480,4940,5245,5675,6119,6736,7065,7217,7538,7969,8117,8494,8600,8545,8428,8414,8535,8568,8610,8472,8472,8515,8159,7157,5705,4858,4426,3923,3901,3754,3714,3631,3646,3688,3769,3815,3798,3948,3973,4115,3965,-4.0,4.7
Other EMEs,4560,4959,5210,5604,6079,6589,7171,7793,8616,8942,9169,10014,10739,11540,12248,12222,12363,12626,12923,13226,13622,14267,14820,15446,16177,16870,17080,17825,18692,19704,20955,21862,23179,23577,24465,25144,25694,26581,27377,29374,30226,31096,32639,33771,34785,2.8,41.9
