Region,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,total
US,11522,12100,12567,13405,14153,14710,15223,16381,17318,16631,16334,17461,18443,18756,18438,17062,16060,15295,15235,15725,15726,16281,16665,17283,17325,16988,16713,17033,17236,17719,17725,18309,18621,18917,19519,19701,19649,19761,20033,20732,20802,20687,20680,19498,18686,-4.9,21.7
Canada,1117,1177,1255,1332,1391,1483,1524,1601,1696,1727,1697,1803,1826,1863,1947,1915,1805,1623,1532,1554,1569,1573,1641,1725,1786,1762,1673,1703,1712,1742,1776,1818,1888,1913,1926,1937,2023,2067,2132,2248,2247,2246,2323,2287,2195,-4.4,2.5
Mexico,302,315,337,368,390,419,442,490,525,601,676,746,771,864,932,1034,1125,1152,1118,1195,1239,1231,1292,1295,1392,1456,1522,1543,1638,1772,1650,1696,1767,1844,1842,1910,1899,1837,1885,1918,1974,1970,2017,2010,1945,-3.4,2.2
Total North America,12941,13592,14159,15105,15934,16612,17189,18472,19539,18958,18707,20010,21041,21484,21317,20012,18989,18070,17884,18474,18535,19085,19598,20303,20503,20206,19908,20279,20586,21232,21150,21823,22276,22674,23286,23548,23571,23665,24050,24898,25023,24904,25020,23795,22826,-4.7,26.4
Argentina,443,459,471,481,505,456,489,482,485,482,459,477,498,489,528,476,453,439,445,442,402,432,457,456,417,389,411,417,418,416,415,432,451,467,445,431,405,364,372,388,414,431,484,499,473,-5.7,0.6
Brazil,314,344,355,425,471,534,594,683,844,910,943,1009,1042,1152,1231,1204,1163,1196,1182,1212,1262,1404,1439,1478,1517,1476,1500,1533,1569,1648,1736,1847,1968,2034,2114,2056,2082,2063,1985,1999,2033,2087,2258,2397,2405,-0.2,2.7
Chile,69,77,82,86,93,98,110,114,108,105,93,96,100,106,110,109,110,107,104,102,100,105,110,121,136,143,148,159,174,190,209,228,242,247,249,236,230,228,228,240,254,264,346,357,333,-7.5,0.4
Colombia,73,83,84,94,91,106,114,130,128,142,141,150,150,153,162,153,157,163,173,173,177,179,191,200,201,204,210,233,242,249,260,268,272,267,237,233,216,211,211,214,229,238,229,199,194,-2.7,0.2
Ecuador,14,14,15,18,19,22,25,25,28,32,31,35,45,46,49,63,70,77,70,71,87,88,89,90,94,92,104,101,106,115,112,125,142,145,131,129,132,131,137,141,168,182,196,207,216,5.2,0.3
Peru,73,94,94,94,93,97,97,83,97,114,120,121,121,119,124,134,138,136,119,122,118,126,139,136,121,121,113,118,123,134,150,155,154,155,159,155,148,147,140,153,152,147,154,172,188,8.8,0.2
Venezuela,187,190,192,202,203,211,221,239,265,262,254,279,350,385,402,415,408,408,399,370,370,388,391,407,388,397,405,431,430,436,446,426,452,475,474,496,545,594,479,523,576,607,597,607,609,0.9,0.7
